,﻿achieve_1,achieve_2,achieve_3,achieve_4,achieve_5,achieve_6,self_1,self_2,self_3,self_4,self_5,self_6,self_7,self_8,curio_1,curio_2,curio_3,curio_4,curio_5,curio_6,curio_7,curio_8,curio_9,curio_10,curio_11,info_1,info_2,info_3,info_4,info_5,info_6,inter_d_1,inter_d_2,inter_d_3,inter_d_4,inter_d_5,inter_d_6,inter_d_7,inter_d_8,deci_1,deci_2,deci_3,deci_4,deci_5
77,2,1,3,1,2,1,3,1,2,3,3,3,1,3,3,3,3,3,2,2,2,1,3,2,0,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3
78,2,1,2,2,2,1,3,1,2,3,2,2,2,2,3,2,3,3,2,2,3,2,3,2,3,1,1,1,1,2,2,3,2,2,3,2,1,2,1,1,1,1,1,1
79,4,2,2,2,2,3,1,0,1,2,2,0,1,2,2,1,1,1,1,2,2,2,3,1,2,1,2,1,2,2,2,2,2,3,2,2,3,2,2,2,3,2,3,4
80,2,2,1,0,2,2,3,3,2,2,3,1,2,2,2,2,3,1,1,2,1,2,2,2,2,1,1,0,2,0,2,3,3,3,2,3,2,2,2,2,2,2,3,2
81,2,2,2,3,3,2,2,2,2,3,4,4,3,3,2,2,2,0,3,3,2,2,3,3,2,2,1,2,2,1,0,1,1,1,0,1,0,1,1,2,2,2,1,2
82,4,3,0,0,3,2,0,2,4,4,1,1,0,2,1,0,0,0,0,2,4,2,4,0,2,1,0,0,3,0,1,4,3,3,3,3,3,2,3,3,2,3,3,3
83,2,2,2,2,3,1,3,3,3,3,3,0,1,2,4,3,3,1,1,3,2,1,2,1,3,0,1,1,1,1,3,2,1,2,1,1,2,1,1,1,3,4,3,2
84,1,2,2,1,1,2,2,1,4,4,2,2,1,1,1,2,2,1,1,4,2,3,3,4,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,3,2,3,2,2
85,3,2,3,1,2,3,2,3,3,2,3,1,1,2,2,2,4,1,1,3,0,2,4,2,1,0,2,0,2,1,3,0,0,1,2,2,0,1,1,3,4,4,4,2
86,2,2,2,1,2,2,3,3,1,2,2,2,1,3,3,3,2,1,2,3,1,3,3,1,1,1,2,2,2,2,1,3,1,2,1,3,4,2,3,1,1,1,1,1
87,2,3,2,2,2,2,1,1,2,2,2,1,2,3,4,2,0,2,4,2,2,2,3,3,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2
88,3,2,2,2,3,2,2,2,2,3,3,2,2,3,1,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,3,3,1,1,2,2,3,2,2,2,2
89,3,3,3,3,3,1,1,4,1,4,4,3,3,3,3,3,3,0,0,3,0,3,0,0,0,1,0,0,1,0,0,3,1,4,1,4,0,0,4,4,1,1,3,4
90,2,2,2,1,2,1,2,2,2,3,3,3,1,2,2,1,2,0,3,2,1,2,0,3,1,0,2,1,1,1,2,2,2,3,2,2,1,2,3,3,3,4,3,4
91,2,3,3,1,2,3,2,1,1,4,4,2,2,1,3,1,2,1,1,2,1,3,4,2,1,1,1,1,2,1,1,3,2,2,2,2,1,1,1,2,2,3,3,3
92,3,2,2,0,2,2,2,2,2,3,3,3,2,2,2,1,3,2,1,2,2,1,1,1,2,1,1,1,2,2,2,3,3,2,2,2,3,2,2,2,2,3,1,2
93,1,2,3,3,3,3,1,3,1,3,3,3,1,3,3,3,3,1,1,3,1,3,1,1,1,1,1,1,1,1,1,3,3,2,1,1,3,3,1,1,1,3,1,3
94,4,2,1,2,3,2,2,2,2,4,4,0,1,2,4,1,4,1,1,3,2,2,2,2,2,1,0,1,0,1,2,2,1,0,1,2,0,2,2,4,3,3,4,3
95,4,3,3,1,3,3,2,3,4,3,3,0,1,2,4,1,3,1,3,3,0,2,1,1,1,1,0,0,4,0,2,2,2,1,2,2,3,3,0,2,3,2,1,2
96,3,1,3,1,2,2,3,3,2,2,3,2,3,3,4,4,4,1,1,1,1,2,3,2,2,0,1,0,1,0,2,1,2,1,2,1,2,1,2,1,3,4,2,3
97,2,2,2,0,1,1,3,3,3,3,3,2,2,3,2,2,3,2,2,2,2,2,2,1,1,1,1,1,2,1,2,3,1,2,1,3,2,3,1,3,3,2,1,3
98,1,3,2,2,1,3,1,2,1,3,4,4,1,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,0,2,2,2,2,2,2,2,2,4
